13 0 0 0 13 13 13 13 13 13 13 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5
13 0 0 0 13 13 13 13 13 13 13 0 0 0 0 4 5
13 0 0 0 13 13 13 13 13 13 13 0 0 0 15 16 5
13 0 0 0 13 13 13 13 13 13 13 0 0 0 14 16 5
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
Sky 0
Coin 192 431
Coin 240 431
Coin 288 431
Coin 336 431
Coin 384 431
Coin 432 431
Coin 480 431
Coin 192 335
Coin 240 335
Coin 288 335
Coin 336 335
Coin 384 335
Coin 432 335
Coin 480 335
Coin 240 239
Coin 288 239
Coin 336 239
Coin 384 239
Coin 432 239
